round,prompt_tokens,cached_tokens,uncached_tokens,completion_tokens,reasoning_tokens,ttft_ms,duration_ms,tok_s_end_to_end,tok_s_decode_est
1,5516,4096,1420,105,0,1281,32959,3.2,3.3
2,5691,5376,315,137,20,440,122441,1.1,1.1
3,5849,5632,217,152,45,535,3035,50.1,60.8
4,6051,5632,419,60,0,,1299,46.2,
5,6129,5888,241,60,0,,1164,51.5,
6,6231,5888,343,161,70,474,3588,44.9,51.7
7,8408,6144,2264,1082,954,1935,28767,37.6,40.3
8,9683,8192,1491,210,151,1230,5771,36.4,46.2
9,9911,9472,439,288,181,553,6265,46.0,50.4
10,10412,9728,684,778,680,630,22179,35.1,36.1
11,12221,10240,1981,1200,1018,1447,33906,35.4,37.0
12,13456,12032,1424,353,123,1180,7987,44.2,51.9
13,24351,13312,11039,404,238,7809,16241,24.9,47.9
14,27390,24320,3070,195,81,2313,6261,31.1,49.4
15,28132,27136,996,61,0,,1563,39.0,
16,28742,27904,838,164,76,753,4078,40.2,49.3
17,30468,28672,1796,229,58,1655,5244,43.7,63.8
18,32786,30464,2322,154,56,2085,4841,31.8,55.9
19,34586,32768,1818,154,55,1524,4630,33.3,49.6
20,34873,34560,313,393,299,545,11003,35.7,37.6
21,36750,34816,1934,319,164,1539,7721,41.3,51.6
22,37823,36608,1215,4271,4073,6587,123899,34.5,36.4
23,43072,37632,5440,589,386,4673,33661,17.5,20.3
24,43834,43008,826,2932,1632,1117,65951,44.5,45.2
25,46797,43776,3021,1896,689,2340,38993,48.6,51.7
26,48724,46592,2132,583,98,2886,14955,39.0,48.3
27,49333,48640,693,411,178,729,7866,52.3,57.6
28,49769,49152,617,540,0,,9215,58.6,
29,50334,49664,670,5485,2215,841,116445,47.1,47.4
30,55851,50176,5675,846,497,4372,22372,37.8,47.0
31,56723,55808,915,148,0,,2729,54.2,
32,56897,56576,321,820,41,788,16741,49.0,51.4
33,57749,56832,917,175,0,1665,4457,39.3,62.7
34,57946,57600,346,78,10,598,1629,47.9,75.7
35,58042,57600,442,2730,1441,636,65785,41.5,41.9
36,60806,57856,2950,2139,1013,4704,54225,39.4,43.2
37,62979,60672,2307,261,0,,6533,40.0,
38,63273,62976,297,402,290,790,9888,40.7,44.2
39,63907,63232,675,1411,1473,880,38373,36.8,37.6
40,66332,63744,2588,1786,515,4489,39629,45.1,50.8
41,68150,66304,1846,104,0,,4953,21.0,
42,68357,68096,261,300,176,585,7453,40.3,43.7
43,68769,68352,417,538,312,803,11962,45.0,48.2
44,69333,68608,725,110,0,,2814,39.1,
45,69467,69120,347,167,52,637,3905,42.8,51.1
46,70989,69376,1613,439,261,1562,12220,35.9,41.2
47,71453,70912,541,104,0,,3226,32.2,
48,72529,71424,1105,1106,866,1323,29106,38.0,39.8
49,74042,72448,1594,260,121,3304,7908,32.9,56.5
50,74328,73984,344,177,0,,2971,59.6,
51,74533,74240,293,104,0,,2785,37.3,
52,75116,74496,620,289,98,891,6051,47.8,56.0
53,75433,75008,425,104,0,,2748,37.8,
54,75595,75264,331,361,147,653,8263,43.7,47.4
55,76403,75520,883,1429,1333,1038,41469,34.5,35.3
56,77901,76288,1613,1739,1667,1748,49375,35.2,36.5
57,79666,77824,1842,428,0,,7270,58.9,
58,80120,79616,504,1208,838,724,30332,39.8,40.8
59,81354,79872,1482,236,0,,4929,47.9,
60,81615,81152,463,458,0,,7657,59.8,
61,82098,81408,690,416,202,1033,8907,46.7,52.8
62,82540,81920,620,182,0,,3145,57.9,
63,82748,82432,316,586,0,,8564,68.4,
64,83360,82688,672,567,0,,8957,63.3,
65,83953,83200,753,109,0,,3015,36.2,
66,84111,83712,399,277,149,748,7588,36.5,40.5
67,84459,83968,491,296,188,1585,8653,34.2,41.9
68,84805,84224,581,100,0,,17163,5.8,
69,84923,84224,699,405,134,945,9583,42.3,46.9
70,85444,84736,708,861,861,950,25025,34.4,35.8
71,86337,85248,1089,45,0,,5823,7.7,
72,87425,86272,1153,280,224,1369,16766,16.7,18.2
73,88158,87296,862,652,452,1089,16044,40.6,43.6
74,89004,88064,940,584,408,1020,14600,40.0,43.0
75,89620,88832,788,904,734,897,20929,43.2,45.1
76,90608,89600,1008,335,143,1032,8826,38.0,43.0
77,91026,90368,658,204,0,935,4892,41.7,51.6
