round,prompt_tokens,cached_tokens,uncached_tokens,completion_tokens,reasoning_tokens,ttft_ms,duration_ms,tok_s_end_to_end,tok_s_decode_est
1,5294,3584,1710,30,3,2528,33092,0.9,1.0
2,5338,3584,1754,22,0,,3525,6.2,
3,5425,3584,1841,31,0,,3719,8.3,
4,7017,3584,3433,74,0,,6758,10.9,
5,18195,3584,14611,143,44,17364,23624,6.1,22.8
6,19035,17920,1115,81,0,,4558,17.8,
7,19185,17920,1265,106,0,,5704,18.6,
8,20883,17920,2963,92,0,,6500,14.2,
9,22538,17920,4618,1547,1533,5875,79999,19.3,20.9
10,25476,21504,3972,1668,656,4998,69612,24.0,25.8
11,27166,25088,2078,158,25,3004,8172,19.3,30.6
12,27335,25088,2247,42,0,3369,4996,8.4,25.8
13,27392,25088,2304,718,0,,24370,29.5,
14,28154,25088,3066,2254,0,4178,74520,30.2,32.0
15,30431,28672,1759,128,71,2637,7822,16.4,24.7
16,31550,28672,2878,98,52,3851,7327,13.4,28.2
17,31738,28672,3066,132,0,,6585,20.0,
18,31902,28672,3230,658,0,,26448,24.9,
19,32625,32256,369,1187,36,1138,34404,34.5,35.7
20,33859,32256,1603,32,0,,3826,8.4,
21,34025,32256,1769,34,0,,3423,9.9,
22,34202,32256,1946,47,0,,3592,13.1,
23,34266,32256,2010,45,0,,4463,10.1,
24,34485,32256,2229,198,0,,7240,27.3,
25,34698,32256,2442,32,0,,4816,6.6,
26,34875,32256,2619,114,0,,6372,17.9,
27,35019,32256,2763,32,0,,4795,6.7,
28,35250,32256,2994,208,148,3950,26837,7.8,9.1
29,35944,32256,3688,52,0,,6111,8.5,
30,36012,35840,172,43,0,,3142,13.7,
31,36248,35840,408,284,253,1078,16641,17.1,18.2
32,36585,35840,745,525,374,1520,25408,20.7,22.0
33,37128,35840,1288,37,0,,3718,10.0,
34,37235,35840,1395,437,148,2571,20147,21.7,24.9
35,39306,35840,3466,416,217,4858,24015,17.3,21.7
36,39742,39424,318,32,0,,2501,12.8,
37,39868,39424,444,36,0,,2554,14.1,
38,39975,39424,551,60,0,,2580,23.3,
39,40053,39424,629,32,0,,2353,13.6,
40,40179,39424,755,32,0,,2660,12.0,
41,40322,39424,898,60,0,,2624,22.9,
42,40400,39424,976,142,118,1587,6812,20.8,27.2
43,40648,39424,1224,37,0,,3829,9.7,
44,40782,39424,1358,34,0,,3743,9.1,
45,40925,39424,1501,67,24,2312,4868,13.8,26.2
46,41066,39424,1642,39,0,,3350,11.6,
47,41434,39424,2010,103,47,2880,5887,17.5,34.3
48,41555,39424,2131,32,0,,4113,7.8,
49,41656,39424,2232,783,541,3478,40183,19.5,21.3
50,42457,39424,3033,48,0,,6233,7.7,
51,42830,39424,3406,41,0,,6178,6.6,
52,43676,39424,4252,191,107,5770,12747,15.0,27.4
53,43877,43008,869,89,0,,3145,28.3,
54,43984,43008,976,48,0,,3640,13.2,
55,44170,43008,1162,787,369,1966,34685,22.7,24.1
56,44983,43008,1975,29,0,,3761,7.7,
57,45024,43008,2016,32,0,,3540,9.0,
58,45280,43008,2272,450,0,,12518,35.9,
59,45753,43008,2745,26,0,,4531,5.7,
60,45935,43008,2927,313,0,,11295,27.7,
61,46277,43008,3269,377,62,4480,14222,26.5,38.7
62,46684,46592,92,317,108,803,9743,32.5,35.5
63,47025,46592,433,48,0,,2328,20.6,
64,47140,46592,548,116,79,1350,7771,14.9,18.1
65,47307,46592,715,29,0,,2603,11.1,
66,47567,46592,975,71,49,1602,4460,15.9,24.8
67,47652,46592,1060,34,0,,2618,13.0,
68,47830,46592,1238,377,0,,10184,37.0,
69,48224,46592,1632,48,0,,3988,12.0,
70,48480,46592,1888,260,91,2663,12923,20.1,25.3
71,48792,46592,2200,102,74,3339,6619,15.4,31.1
72,50510,46592,3918,827,29,5102,22553,36.7,47.4
73,51369,50176,1193,172,162,2206,9444,18.2,23.8
74,53157,50176,2981,57,0,4072,7224,7.9,18.1
75,53340,50176,3164,766,200,4220,27203,28.2,33.3
76,54137,53760,377,166,43,1183,6314,26.3,32.4
77,54319,53760,559,48,0,,3244,14.8,
78,54428,53760,668,46,0,,3429,13.4,
79,54585,53760,825,43,0,,3294,13.1,
80,55131,53760,1371,60,0,,3645,16.5,
81,55207,53760,1447,44,0,,4560,9.6,
82,55423,53760,1663,103,0,,4953,20.8,
83,55544,53760,1784,105,63,2698,7999,13.1,19.8
84,55809,53760,2049,239,0,2912,50143,4.8,5.1
85,56694,53760,2934,95,12,4147,9496,10.0,17.8
86,56822,53760,3062,64,0,,5731,11.2,
87,56934,53760,3174,24,0,,5571,4.3,
88,56980,53760,3220,31,0,,6421,4.8,
89,57133,53760,3373,11,0,,8920,1.2,
90,58148,53760,4388,90,89,5933,22098,4.1,5.6
91,58242,57344,898,11,0,,6208,1.8,
92,59256,57344,1912,70,0,,7470,9.4,
93,59669,57344,2325,214,35,3525,13025,16.4,22.5
