round,prompt_tokens,cached_tokens,uncached_tokens,completion_tokens,reasoning_tokens,ttft_ms,duration_ms,tok_s_end_to_end,tok_s_decode_est
1,5722,3200,2522,71,14,1199,2792,25.4,44.6
2,6178,3200,2978,188,14,1339,5014,37.5,51.2
3,6413,3200,3213,121,25,1341,35980,3.4,3.5
4,6881,4800,2081,63,35,1162,2316,27.2,54.6
5,7405,4800,2605,71,40,1137,6205,11.4,14.0
6,16627,4800,11827,65,31,4254,5491,11.8,52.5
7,17097,14400,2697,70,35,1167,2527,27.7,51.5
8,18061,14400,3661,152,46,1519,4440,34.2,52.0
9,18267,14400,3867,97,59,1818,3590,27.0,54.7
10,19020,16000,3020,91,55,1294,3048,29.9,51.9
11,20938,16000,4938,85,50,2051,3519,24.2,57.9
12,21797,16000,5797,71,34,2363,3750,18.9,51.2
13,22985,19200,3785,83,47,1573,3327,24.9,47.3
14,23706,19200,4506,150,49,1954,4981,30.1,49.6
15,24557,20800,3757,94,56,1629,3767,25.0,44.0
16,24720,20800,3920,65,24,1911,3060,21.2,56.6
17,25736,22400,3336,481,439,1472,12166,39.5,45.0
18,26882,22400,4482,168,99,2038,5043,33.3,55.9
19,28492,24000,4492,93,24,1862,3477,26.7,57.6
20,30276,24000,6276,262,193,2806,8426,31.1,46.6
21,32618,25600,7018,175,106,2962,6455,27.1,50.1
22,33903,30400,3503,206,165,1566,6994,29.5,38.0
23,34208,30400,3808,84,29,1903,6731,12.5,17.4
24,35367,32000,3367,95,24,1498,3412,27.8,49.6
25,37657,32000,5657,132,91,2463,10647,12.4,16.1
26,38867,33600,5267,848,810,2412,23356,36.3,40.5
27,40286,35200,5086,104,71,2320,4426,23.5,49.4
28,41256,36800,4456,202,133,2176,6077,33.2,51.8
29,44028,38400,5628,10957,10799,2307,292888,37.4,37.7
30,56118,52800,3318,1374,68,1695,26449,51.9,55.5
31,57520,54400,3120,537,287,1779,13899,38.6,44.3
32,58083,54400,3683,708,532,1922,19828,35.7,39.5
33,58817,56000,2817,328,28,1381,7891,41.6,50.4
34,59172,56000,3172,1160,90,1530,21587,53.7,57.8
35,60358,57600,2758,128,25,1441,3782,33.8,54.7
36,60514,57600,2914,144,55,1426,4290,33.6,50.3
37,60687,57600,3087,133,15,1529,3651,36.4,62.7
38,60845,59200,1645,5050,2162,994,106654,47.3,47.8
