round,prompt_tokens,cached_tokens,uncached_tokens,completion_tokens,reasoning_tokens,ttft_ms,duration_ms,tok_s_end_to_end,tok_s_decode_est
1,6070,4096,1974,163,55,1427,4167,39.1,59.5
2,8265,5888,2377,350,38,1834,8368,41.8,53.6
3,8714,5888,2826,77,20,2046,3111,24.8,72.3
4,9337,8192,1145,97,23,1090,27899,3.5,3.6
5,9479,9216,263,81,24,642,1775,45.6,71.5
6,9578,9216,362,124,15,547,2605,47.6,60.3
7,10379,9472,907,165,29,812,2821,58.5,82.1
8,21712,10240,11472,1030,888,8246,33825,30.5,40.3
9,24994,21504,3490,227,89,2768,6055,37.5,69.1
10,26972,24832,2140,238,71,1934,6066,39.2,57.6
11,27995,26880,1115,79,23,1092,2227,35.5,69.6
12,40392,27904,12488,239,56,10554,13991,17.1,69.5
13,44742,40192,4550,257,173,3715,8660,29.7,52.0
14,46221,44544,1677,198,43,1506,4755,41.6,60.9
15,47404,46080,1324,7780,7315,1359,214802,36.2,36.5
16,55954,46080,9874,112,21,7310,8839,12.7,73.3
17,56556,55808,748,7214,6862,920,186308,38.7,38.9
18,63833,56320,7513,106,0,,9341,11.3,
19,63966,63744,222,100,14,616,2248,44.5,61.3
20,64360,63744,616,328,170,979,8077,40.6,46.2
21,64718,64256,462,349,236,786,9448,36.9,40.3
22,65405,64512,893,173,0,,3097,55.9,
23,66225,65280,945,5728,4780,1042,144835,39.5,39.8
24,71979,66048,5931,237,10,5089,8235,28.8,75.3
25,72241,69632,2609,542,13,2300,11606,46.7,58.2
26,72808,69632,3176,1592,21,2866,28995,54.9,60.9
27,74425,72704,1721,291,180,1615,7808,37.3,47.0
28,76178,74240,1938,559,487,1774,16987,32.9,36.7
29,76821,76032,789,91,0,,2232,40.8,
30,78083,76032,2051,2183,1113,3770,53682,40.7,43.7
31,80291,77824,2467,279,29,2404,6102,45.7,75.4
32,80595,80128,467,160,13,719,3129,51.1,66.4
33,80784,80384,400,2944,25,706,63658,46.2,46.8
34,83760,80640,3120,1183,290,2939,31930,37.0,40.8
35,84974,81920,3054,212,39,2689,6143,34.5,61.4
36,85212,84736,476,203,37,762,3686,55.1,69.4
37,85437,84992,445,253,34,806,4680,54.1,65.3
38,85746,85248,498,161,80,1696,5253,30.6,45.3
39,86265,85504,761,467,278,880,12677,36.8,39.6
40,86758,86016,742,185,0,,3397,54.5,
41,86969,86528,441,107,21,908,2969,36.0,51.9
42,87100,86784,316,149,42,706,3359,44.4,56.2
43,87375,86784,591,301,204,1237,7508,40.1,48.0
44,87735,86784,951,406,328,2790,12042,33.7,43.9
45,88394,87552,842,1556,1354,2061,41164,37.8,39.8
46,89988,87552,2436,161,8,2313,4758,33.8,65.8
47,90604,89856,748,130,33,1067,2923,44.5,70.0
48,91790,90368,1422,295,180,1588,8120,36.3,45.2
