round,prompt_tokens,cached_tokens,uncached_tokens,completion_tokens,reasoning_tokens,ttft_ms,duration_ms,tok_s_end_to_end,tok_s_decode_est
1,5833,3584,2249,30,8,2671,3435,8.7,39.3
2,5907,3584,2323,17,0,,3428,5.0,
3,6313,3584,2729,17,0,,3590,4.7,
4,6684,3584,3100,23,0,,24741,0.9,
5,6720,3584,3136,18,0,,3780,4.8,
6,7128,3584,3544,53,0,,5103,10.4,
7,27029,3584,23445,82,37,21922,24596,3.3,30.7
8,28673,25088,3585,104,47,4188,7818,13.3,28.7
9,31631,25088,6543,39,0,,7848,5.0,
10,32608,28672,3936,1296,1347,4292,73124,17.7,18.8
11,35123,32256,2867,962,853,3462,50710,19.0,20.4
12,36112,32256,3856,1166,0,,38828,30.0,
13,37300,35840,1460,226,149,2163,11211,20.2,25.0
14,37541,35840,1701,2305,4,2268,78349,29.4,30.3
15,39868,35840,4028,343,182,4383,17830,19.2,25.5
16,40227,39424,803,143,0,,4269,33.5,
17,40386,39424,962,143,0,,4063,35.2,
18,40545,39424,1121,53,21,1669,3682,14.4,26.3
19,40749,39424,1325,601,19,2186,20528,29.3,32.8
20,41367,39424,1943,170,0,,6439,26.4,
21,41552,39424,2128,471,0,,15036,31.3,
22,42039,39424,2615,623,7,3163,25933,24.0,27.4
23,42685,39424,3261,82,0,,5575,14.7,
24,42781,39424,3357,49,28,3888,6169,7.9,21.5
25,43161,39424,3737,1301,381,4186,48376,26.9,29.4
26,44487,43008,1479,668,262,2071,22927,29.1,32.0
27,45195,43008,2187,32,0,,4065,7.9,
28,45392,43008,2384,212,18,3092,7686,27.6,46.1
29,45619,43008,2611,46,15,3113,4906,9.4,25.7
30,45825,43008,2817,84,32,3297,5972,14.1,31.4
31,45925,43008,2917,112,34,3367,6242,17.9,39.0
32,46053,43008,3045,32,0,,4343,7.4,
33,46102,43008,3094,32,0,,18142,1.8,
34,47797,43008,4789,577,492,5360,32583,17.7,21.2
35,48392,46592,1800,407,23,2370,10184,40.0,52.1
36,48849,46592,2257,32,0,,4299,7.4,
37,48934,46592,2342,55,15,3277,5378,10.2,26.2
38,49192,46592,2600,984,390,3143,38880,25.3,27.5
39,50193,46592,3601,435,61,4146,15153,28.7,39.5
40,50658,46592,4066,225,0,,10772,20.9,
41,50899,50176,723,110,37,1349,4468,24.6,35.3
42,51025,50176,849,385,0,,10667,36.1,
43,51444,50176,1268,41,10,2097,3153,13.0,38.8
44,52204,50176,2028,619,0,,13204,46.9,
45,52839,50176,2663,91,34,3351,5768,15.8,37.6
46,52946,50176,2770,107,39,3339,6188,17.3,37.6
47,53069,50176,2893,87,0,,4989,17.4,
48,53172,50176,2996,123,0,,6643,18.5,
49,53311,50176,3135,61,36,3522,5938,10.3,25.2
50,53567,50176,3391,117,5,3920,6295,18.6,49.3
51,53700,50176,3524,59,0,,7320,8.1,
52,54070,50176,3894,272,264,4237,18342,14.8,19.3
53,54578,53760,818,403,162,1390,14783,27.3,30.1
54,54997,53760,1237,220,0,,5895,37.3,
55,55275,53760,1515,91,34,2153,5058,18.0,31.3
56,55383,53760,1623,59,0,,4732,12.5,
57,55530,53760,1770,60,19,2263,4686,12.8,24.8
58,55656,53760,1896,23,0,,3005,7.7,
59,55826,53760,2066,73,38,2539,5513,13.2,24.5
60,55914,53760,2154,33,0,,3892,8.5,
61,56000,53760,2240,113,87,2942,8138,13.9,21.7
62,56210,53760,2450,146,34,3029,8799,16.6,25.3
