round,prompt_tokens,cached_tokens,uncached_tokens,completion_tokens,reasoning_tokens,ttft_ms,duration_ms,tok_s_end_to_end,tok_s_decode_est
1,6263,3200,3063,295,86,1262,7122,41.4,50.3
2,6813,3200,3613,132,21,1725,3888,34.0,61.0
3,7025,4800,2225,135,52,1004,3951,34.2,45.8
4,7178,4800,2378,134,71,1255,4675,28.7,39.2
5,7774,4800,2974,184,71,1262,4566,40.3,55.7
6,8037,4800,3237,119,35,1384,3835,31.0,48.6
7,8614,4800,3814,128,37,1744,4060,31.5,55.3
8,9076,6400,2676,130,38,1532,3600,36.1,62.9
9,10653,6400,4253,229,29,1720,5646,40.6,58.3
10,11994,6400,5594,143,68,2234,5323,26.9,46.3
11,12672,8000,4672,151,43,2015,4812,31.4,54.0
12,12867,9600,3267,124,21,1372,3618,34.3,55.2
13,13342,9600,3742,212,68,1657,5735,37.0,52.0
14,15116,11200,3916,57,17,1545,2543,22.4,57.1
15,15635,11200,4435,117,43,1894,4419,26.5,46.3
16,34834,12800,22034,164,98,8228,11578,14.2,49.0
17,36748,30400,6348,106,70,2680,5090,20.8,44.0
18,37800,32000,5800,189,94,2524,6549,28.9,47.0
19,39276,33600,5676,80,16,2557,4313,18.5,45.6
20,41292,35200,6092,203,103,2714,7022,28.9,47.1
21,43852,36800,7052,162,77,3065,6677,24.3,44.9
22,44992,38400,6592,5428,5337,2787,147116,36.9,37.6
23,53586,41600,11986,4445,4379,5072,125554,35.4,36.9
24,58734,43200,15534,1374,1307,6240,45775,30.0,34.8
25,60817,52800,8017,5684,4283,3473,144459,39.3,40.3
26,66534,56000,10534,4167,391,4686,88595,47.0,49.7
27,70738,57600,13138,2032,1944,5456,53538,38.0,42.3
28,74305,64000,10305,437,314,4477,14411,30.3,44.0
29,75895,68800,7095,2965,2221,3330,73886,40.1,42.0
30,78916,72000,6916,4277,541,3379,80801,52.9,55.2
31,83229,73600,9629,159,65,4381,7305,21.8,54.4
32,83415,76800,6615,4845,3301,3426,108827,44.5,46.0
33,88840,81600,7240,339,142,3347,10475,32.4,47.6
34,89345,81600,7745,327,19,3626,10181,32.1,49.9
35,89711,86400,3311,191,9,1837,5021,38.0,60.0
36,89946,86400,3546,1112,1012,2004,31002,35.9,38.3
37,91843,88000,3843,1754,721,2064,37597,46.7,49.4
38,93625,88000,5625,762,317,2817,18050,42.2,50.0
39,94430,89600,4830,1475,16,2631,33119,44.5,48.4
40,95940,91200,4740,530,401,2503,16019,33.1,39.2
41,96497,92800,3697,3503,1922,2003,69412,50.5,52.0
42,100054,92800,7254,324,152,3579,10546,30.7,46.5
43,100407,94400,6007,580,16,3376,13330,43.5,58.3
44,101094,97600,3494,61,8,1865,2868,21.3,60.8
45,101179,97600,3579,117,78,2125,5138,22.8,38.8
46,101327,99200,2127,109,31,1389,3476,31.4,52.2
47,101516,99200,2316,62,9,1392,13971,4.4,4.9
48,101602,99200,2402,267,220,1601,8303,32.2,39.8
49,102055,99200,2855,1165,900,1628,31721,36.7,38.7
50,103246,99200,4046,162,34,2176,5048,32.1,56.4
51,103465,99200,4265,106,13,2464,4485,23.6,52.4
52,103627,100800,2827,63,10,1642,2718,23.2,58.6
53,103714,100800,2914,102,63,1624,4011,25.4,42.7
54,103840,100800,3040,88,12,1718,3254,27.0,57.3
55,104034,100800,3234,153,107,2010,5665,27.0,41.9
56,104233,100800,3433,539,476,2080,17347,31.1,35.3
57,105237,102400,2837,1016,899,1656,29570,34.4,36.4
58,106280,102400,3880,157,92,2056,6126,25.6,38.6
59,106614,102400,4214,1119,801,2270,31117,36.0,38.8
60,107948,104000,3948,608,439,2394,16537,36.8,43.0
61,108600,104000,4600,285,195,2601,9399,30.3,41.9
62,109036,105600,3436,113,12,1839,3757,30.1,58.9
63,109176,105600,3576,331,179,2087,10004,33.1,41.8
64,109602,107200,2402,101,12,1503,3339,30.2,55.0
65,109759,107200,2559,106,53,1548,4141,25.6,40.9
66,109889,107200,2689,98,28,1789,3494,28.0,57.5
67,110619,107200,3419,351,227,1964,9664,36.3,45.6
68,111160,107200,3960,156,43,2365,5779,27.0,45.7
69,111436,108800,2636,449,381,1777,13818,32.5,37.3
70,112373,108800,3573,721,645,2118,19472,37.0,41.5
