round,prompt_tokens,cached_tokens,uncached_tokens,completion_tokens,reasoning_tokens,ttft_ms,duration_ms,tok_s_end_to_end,tok_s_decode_est
1,6187,4096,2091,253,77,2441,7276,34.8,52.1
2,6750,6144,606,110,0,,2002,54.9,
3,6935,6656,279,89,13,439,30588,2.9,2.9
4,7042,6656,386,118,22,475,2194,53.8,68.1
5,8171,6912,1259,115,0,,2877,40.0,
6,17441,7936,9505,168,68,6808,9819,17.1,55.5
7,17891,8192,9699,238,0,,11919,20.0,
8,20931,17664,3267,338,108,2650,7778,43.5,65.7
9,23522,20736,2786,269,187,2130,7765,34.6,47.6
10,24324,23296,1028,174,0,,4241,41.0,
11,37677,23296,14381,5989,5733,11985,168722,35.5,38.2
12,45253,36864,8389,279,54,6270,10336,27.0,68.4
13,46904,45056,1848,5344,5231,1563,149267,35.8,36.2
14,53907,45056,8851,310,182,7243,14941,20.7,40.1
15,54361,53760,601,5307,4800,744,123804,42.9,43.1
16,60419,54272,6147,1176,20,6290,24729,47.6,63.7
17,61661,57344,4317,272,8,3640,7796,34.9,65.2
18,61985,61440,545,2688,0,768,50950,52.8,53.5
19,64739,61440,3299,1115,18,2859,21184,52.6,60.8
20,65914,64512,1402,387,150,1415,8246,46.9,56.5
21,66360,65792,568,587,0,,9636,60.9,
22,67006,65792,1214,878,24,6693,24892,35.3,48.2
23,67950,66816,1134,241,41,6583,10199,23.6,66.4
24,68247,67840,407,243,47,829,4611,52.7,64.0
25,68553,68096,457,201,0,,3481,57.7,
26,68818,68352,466,130,11,701,3198,40.7,51.7
27,68971,68608,363,138,12,767,3321,41.6,53.6
28,69145,68864,281,256,88,579,4951,51.7,58.3
29,71935,68864,3071,377,248,2521,12232,30.8,38.7
30,72439,71680,759,288,146,1007,7041,40.9,47.6
31,72799,72192,607,76,0,,2621,29.0,
32,72939,72704,235,194,50,926,4517,42.9,53.7
33,73291,72704,587,352,113,907,7515,46.8,53.1
34,73777,72704,1073,149,95,1186,4211,35.4,48.9
35,73981,72704,1277,1756,1376,1433,46533,37.7,38.9
36,75805,73728,2077,1332,0,,28588,46.6,
37,77205,73728,3477,943,624,2972,26126,36.1,40.7
38,78210,77056,1154,349,0,,6712,52.0,
39,78621,78080,541,193,48,943,18528,10.4,10.9
40,79388,78080,1308,295,70,1424,7198,41.0,50.9
41,79746,78080,1666,138,0,,6164,22.4,
42,80587,79616,971,2222,735,1156,45781,48.5,49.8
43,82878,80384,2494,138,0,,4828,28.6,
44,83185,82688,497,350,118,771,6782,51.6,58.1
45,83598,82944,654,138,0,,3378,40.9,
46,83793,83456,337,262,190,806,6642,39.4,44.7
47,84108,83456,652,100,0,,3621,27.6,
