round,prompt_tokens,cached_tokens,uncached_tokens,completion_tokens,reasoning_tokens,ttft_ms,duration_ms,tok_s_end_to_end,tok_s_decode_est
1,6652,4096,2556,113,12,1887,3269,34.6,81.0
2,7341,6400,941,151,0,,2637,57.3,
3,30410,7168,23242,172,29,16339,18843,9.1,68.3
4,32797,20480,12317,237,49,8920,12150,19.5,73.1
5,37133,28672,8461,227,38,6370,9349,24.3,75.9
6,39826,36864,2962,270,78,2302,7160,37.7,55.4
7,41105,39680,1425,138,37,1321,3303,41.8,69.1
8,54422,40960,13462,348,136,10201,17063,20.4,50.6
9,58746,54272,4474,5157,4940,3661,130312,39.6,40.7
10,64501,58624,5877,499,289,4649,15215,32.8,47.1
11,65044,64256,788,2316,6,870,31940,72.5,74.5
12,67378,64256,3122,334,0,2749,8478,39.4,58.1
13,67730,65536,2194,1989,856,2381,43947,45.3,47.8
14,69745,67584,2161,408,0,2113,9379,43.5,56.0
15,70178,69632,546,638,245,804,12567,50.8,54.2
16,70841,69632,1209,3301,1978,1406,70126,47.1,48.0
17,74173,70656,3517,2998,1404,3021,66730,44.9,47.0
18,77203,73984,3219,4401,2845,2888,104264,42.2,43.4
19,81636,77056,4580,4414,3380,3818,119315,37.0,38.2
20,86083,81408,4675,1166,317,3902,27934,41.7,48.5
21,87281,81920,5361,209,80,6190,10062,20.8,53.7
22,87516,87040,476,188,0,811,3371,55.8,73.0
23,87726,87296,430,153,0,,2911,52.6,
24,87908,87552,356,457,269,701,11050,41.4,44.1
25,88391,87808,583,125,70,825,3020,41.4,56.5
26,89515,87808,1707,123,0,,3391,36.3,
27,89665,89344,321,135,85,696,2881,46.9,61.3
28,90411,89344,1067,132,0,,3131,42.2,
29,90569,90112,457,183,98,1483,5616,32.6,44.0
30,91671,90368,1303,604,123,1497,13096,46.1,52.0
31,92310,90368,1942,175,111,2059,6746,25.9,37.1
32,92751,92160,591,178,46,914,4217,42.2,53.6
33,92997,92160,837,232,22,993,4079,56.9,74.9
34,93279,92160,1119,57,0,,2753,20.7,
35,93359,92160,1199,91,31,1635,3927,23.2,39.3
36,93521,93184,337,69,6,727,1890,36.5,58.5
37,94165,93184,981,2050,1980,1050,55945,36.6,37.3
38,96594,93952,2642,115,24,2400,4577,25.1,52.4
39,96961,94208,2753,1743,1582,3278,48848,35.7,38.2
40,99613,96768,2845,287,179,2532,7802,36.8,54.3
41,101278,98304,2974,1874,1632,2624,48176,38.9,41.1
42,103721,101120,2601,104,15,2461,4290,24.2,56.3
43,103985,102400,1585,4833,3007,3554,115515,41.8,43.2
44,108851,102400,6451,505,58,5448,14618,34.5,55.0
45,109397,106496,2901,56,0,,3362,16.7,
46,110142,106496,3646,476,26,3563,12922,36.8,50.8
47,110644,106496,4148,626,45,3703,13728,45.6,62.3
48,111295,106496,4799,1660,341,4132,33636,49.4,56.2
49,112987,111104,1883,1377,448,1834,27742,49.6,53.1
50,114397,112896,1501,859,127,1626,15519,55.4,61.8
51,115288,114176,1112,60,0,,2904,20.7,
52,115435,115200,235,315,156,742,6759,46.6,52.2
53,115777,115200,577,84,0,,4692,17.9,
54,115914,115200,714,86,18,1987,3940,21.8,43.5
55,116071,115712,359,488,36,799,6938,70.3,79.3
56,116709,115968,741,114,0,,2654,43.0,
57,116894,116480,414,76,0,,3864,19.7,
58,117034,116736,298,158,60,791,3881,40.7,50.8
59,117391,116736,655,83,0,972,2616,31.7,49.9
60,117530,117248,282,85,0,,1979,43.0,
61,118098,117248,850,641,573,2138,19861,32.3,36.1
62,118782,117248,1534,85,0,,2992,28.4,
63,119345,118528,817,671,521,2192,18225,36.8,41.8
64,120034,118784,1250,78,11,1718,2992,26.1,60.4
65,120233,119808,425,89,0,,3243,27.4,
66,120413,120064,349,145,0,,2801,51.8,
67,120585,120320,265,117,46,897,3051,38.3,53.9
68,120748,120320,428,68,0,,1911,35.6,
69,120869,120576,293,133,0,,2726,48.8,
70,121070,120576,494,104,25,1021,2422,42.9,73.5
71,121614,120832,782,200,136,1928,5997,33.4,48.9
72,121863,120832,1031,68,0,,2434,27.9,
73,122295,120832,1463,258,140,2244,7181,35.9,52.1
74,122653,120832,1821,83,0,,3515,23.6,
75,123207,120832,2375,124,45,3632,5853,21.2,55.4
76,123386,120832,2554,83,0,,4057,20.5,
77,123931,123136,795,945,612,2283,22481,42.0,46.7
78,124903,123136,1767,162,104,4786,8167,19.8,47.6
79,125119,124672,447,85,0,,2202,38.6,
80,125246,124928,318,89,0,,2425,36.7,
81,125795,124928,867,959,899,2714,30061,31.9,35.0
82,126794,124928,1866,631,0,,13560,46.5,
83,127499,124928,2571,1981,1776,2910,58479,33.9,35.6
84,129579,126976,2603,98,0,,4170,23.5,
85,129728,126976,2752,68,0,,3793,17.9,
86,129849,129536,313,98,0,,2320,42.2,
87,129997,129536,461,366,237,1193,9099,40.2,46.2
88,130453,129792,661,84,0,,2546,33.0,
89,130577,130304,273,166,0,,3498,47.5,
90,130850,130304,546,293,237,2180,10082,29.1,37.0
91,131213,130304,909,81,20,1468,3232,25.1,45.4
92,131330,131072,258,1309,1284,1095,34910,37.5,38.7
93,132703,131072,1631,110,0,,4203,26.2,
94,132873,132608,265,406,297,1088,11036,36.8,40.7
95,133500,132608,892,566,450,1480,16581,34.1,37.4
