round,prompt_tokens,cached_tokens,uncached_tokens,completion_tokens,reasoning_tokens,ttft_ms,duration_ms,tok_s_end_to_end,tok_s_decode_est
1,6225,4096,2129,55,13,1673,2539,21.7,62.4
2,6463,6144,319,285,0,,3773,75.5,
3,10883,6144,4739,2250,2210,3398,61556,36.6,38.7
4,13168,10752,2416,2497,1716,1856,58688,42.5,43.9
5,15688,13056,2632,684,0,,12173,56.2,
6,16397,13056,3341,785,306,2537,16876,46.5,54.7
7,17201,13056,4145,1141,91,3180,21448,53.2,62.4
8,18369,16384,1985,662,0,,10052,65.9,
9,19057,18176,881,377,0,791,7463,50.5,56.4
10,19461,18944,517,310,0,,4376,70.8,
11,19796,18944,852,1065,0,808,17622,60.4,63.3
12,20889,18944,1945,1530,0,,21327,71.7,
13,22446,20736,1710,372,0,,8291,44.9,
14,22846,22272,574,440,0,,5897,74.6,
15,23313,22272,1041,115,0,1717,3418,33.6,67.0
16,23451,22272,1179,573,216,1141,11666,49.1,54.3
17,24043,23296,747,294,0,,4773,61.6,
18,24356,23808,548,122,0,,1998,61.1,
19,24497,23808,689,96,0,710,2112,45.5,67.8
20,24605,24320,285,1127,0,528,19523,57.7,59.3
21,25758,24320,1438,258,130,1255,6119,42.2,52.8
22,26038,25600,438,64,0,622,2889,22.2,27.8
23,27211,25856,1355,183,92,1226,4236,43.2,60.5
24,27419,25856,1563,220,100,1361,4864,45.2,62.5
25,27663,25856,1807,60,0,,2926,20.5,
26,28715,25856,2859,191,44,2175,5350,35.7,59.8
27,28926,25856,3070,60,0,,3836,15.6,
28,29298,28672,626,87,0,711,2622,33.2,45.0
29,29402,29184,218,67,0,,2211,30.3,
30,29615,29184,431,121,0,639,2025,59.8,86.6
31,29808,29440,368,60,0,,61397,1.0,
32,29941,29696,245,121,24,518,2332,51.9,66.2
33,30076,29696,380,121,0,586,3697,32.7,38.6
