round,prompt_tokens,cached_tokens,uncached_tokens,completion_tokens,reasoning_tokens,ttft_ms,duration_ms,tok_s_end_to_end,tok_s_decode_est
1,5949,3584,2365,39,6,3018,4081,9.6,35.7
2,6047,3584,2463,23,0,,30763,0.7,
3,6083,3584,2499,39,0,,4167,9.4,
4,6231,3584,2647,39,0,,4048,9.6,
5,16611,3584,13027,89,37,13948,16777,5.3,31.1
6,18678,7168,11510,42,0,,13461,3.1,
7,19758,17920,1838,81,27,2463,6104,13.3,22.0
8,19871,17920,1951,49,0,,3737,13.1,
9,20415,17920,2495,26,0,,3951,6.6,
10,21262,17920,3342,1423,1499,4179,71246,20.0,21.2
11,22977,17920,5057,484,393,5701,25571,18.9,24.3
12,23761,21504,2257,2227,1195,3083,82163,27.1,28.1
13,26011,21504,4507,2364,0,5466,75098,31.5,33.9
14,28398,25088,3310,261,97,4098,12076,21.6,32.6
15,29143,25088,4055,161,95,4692,9967,16.2,30.3
16,29321,28672,649,873,137,1291,28064,31.1,32.6
17,30238,28672,1566,808,0,2387,26132,30.9,34.0
18,31081,28672,2409,986,0,3351,28391,34.7,39.3
19,32114,28672,3442,32,0,,20407,1.6,
20,32669,28672,3997,263,206,4712,15151,17.4,25.1
21,32948,32256,692,32,0,,2472,12.9,
22,33516,32256,1260,67,26,2103,4175,16.0,31.9
23,33970,32256,1714,182,130,2431,9251,19.7,26.5
24,34168,32256,1912,32,0,,3960,8.1,
25,34473,32256,2217,179,111,3057,13237,13.5,17.5
26,34777,32256,2521,210,45,3342,11357,18.5,26.1
27,35011,32256,2755,50,0,,5387,9.3,
28,35065,32256,2809,42,0,,4958,8.5,
29,35188,32256,2932,440,302,3598,21394,20.6,24.7
30,42022,32256,9766,545,216,10834,27709,19.7,32.2
31,42620,39424,3196,116,87,3807,8690,13.3,23.6
32,42799,39424,3375,52,0,,6218,8.4,
33,42882,39424,3458,410,236,4261,20284,20.2,25.5
34,43501,39424,4077,578,547,4800,31119,18.6,21.9
35,44300,43008,1292,214,78,2180,7398,28.9,40.8
36,44533,43008,1525,32,0,,3479,9.2,
37,44598,43008,1590,41,0,,3835,10.7,
38,44790,43008,1782,157,0,,7099,22.1,
39,44966,43008,1958,312,109,2651,12211,25.6,32.5
40,45319,43008,2311,32,0,,4143,7.7,
41,45443,43008,2435,32,0,,4562,7.0,
42,45663,43008,2655,69,42,3474,5600,12.3,32.0
43,46028,43008,3020,68,0,,4949,13.7,
44,46115,43008,3107,32,0,,4933,6.5,
45,46180,43008,3172,41,0,,5272,7.8,
46,46383,43008,3375,134,54,4246,8386,16.0,32.1
47,46536,43008,3528,32,0,,5589,5.7,
48,46601,43008,3593,41,0,,5744,7.1,
49,46727,43008,3719,171,0,,9424,18.1,
50,46922,46592,330,73,0,,4116,17.7,
51,47557,46592,965,274,112,1529,9062,30.2,36.2
52,47852,46592,1260,32,0,,3190,10.0,
53,47917,46592,1325,113,72,2181,7133,15.8,22.6
54,48123,46592,1531,37,0,,3384,10.9,
55,48562,46592,1970,677,248,2562,21644,31.3,35.4
56,49269,46592,2677,37,0,,4826,7.7,
57,49409,46592,2817,56,0,,5095,11.0,
58,49770,46592,3178,644,150,3835,22373,28.8,34.7
59,50459,46592,3867,74,0,,6789,10.9,
60,50666,50176,490,226,0,,4902,46.1,
61,50937,50176,761,48,0,,3694,13.0,
62,51038,50176,862,41,0,,3206,12.8,
63,51411,50176,1235,80,0,,3814,21.0,
64,51523,50176,1347,228,0,,5736,39.7,
65,51796,50176,1620,48,0,,4207,11.4,
66,51888,50176,1712,34,0,,3681,9.2,
67,52124,50176,1948,88,13,2556,4503,19.5,44.7
68,52230,50176,2054,34,0,,3974,8.6,
69,52371,50176,2195,76,0,,4413,17.2,
70,52485,50176,2309,71,0,,4277,16.6,
71,52575,50176,2399,34,0,,4572,7.4,
72,52719,50176,2543,23,0,,4131,5.6,
73,52761,50176,2585,58,0,,5638,10.3,
74,52885,50176,2709,79,45,3475,6721,11.8,24.0
75,53031,50176,2855,23,0,,4010,5.7,
76,53346,50176,3170,116,20,3760,19597,5.9,7.3
77,53469,50176,3293,53,0,,11991,4.4,
78,53642,50176,3466,65,28,4303,7067,9.2,23.2
79,53721,50176,3545,123,0,,9269,13.3,
80,53904,50176,3728,48,26,4500,6831,7.0,20.2
81,54001,53760,241,37,0,,2011,18.4,
82,57070,53760,3310,44,15,12522,13796,3.2,33.8
83,57208,53760,3448,27,0,,5518,4.9,
84,57789,53760,4029,43,29,4868,6514,6.6,25.5
85,57876,53760,4116,23,0,,5708,4.0,
86,58454,57344,1110,108,104,1835,7294,14.8,19.6
87,58604,57344,1260,24,0,,2771,8.7,
88,58677,57344,1333,88,0,,5498,16.0,
89,58822,57344,1478,71,62,2347,5367,13.2,23.2
90,58902,57344,1558,84,0,2478,5995,14.0,23.6
