round,prompt_tokens,cached_tokens,uncached_tokens,completion_tokens,reasoning_tokens,ttft_ms,duration_ms,tok_s_end_to_end,tok_s_decode_est
1,6414,3584,2830,39,0,,4441,8.8,
2,18050,3584,14466,78,0,,17670,4.4,
3,22179,17920,4259,42,0,,6458,6.5,
4,24155,21504,2651,68,0,,6175,11.0,
5,24519,21504,3015,93,0,,6912,13.5,
6,25617,21504,4113,83,0,,7277,11.4,
7,26154,25088,1066,50,0,,2805,17.8,
8,27345,25088,2257,941,918,3108,46482,20.2,21.7
9,28589,25088,3501,36,0,,5387,6.7,
10,29254,25088,4166,1238,127,4735,29009,42.7,51.0
11,38495,28672,9823,244,32,10795,16895,14.4,39.8
12,38744,28672,10072,216,0,13945,31012,7.0,12.6
13,38965,35840,3125,994,86,4413,47385,21.0,23.1
14,39981,35840,4141,36,0,5306,6693,5.4,25.2
15,40331,39424,907,258,0,,10571,24.4,
16,40601,39424,1177,95,27,2264,7253,13.1,18.8
17,40856,39424,1432,49,0,,3877,12.6,
18,41180,39424,1756,171,36,2768,8695,19.7,28.7
19,41362,39424,1938,99,85,2818,7987,12.4,19.0
20,42498,39424,3074,50,32,3614,5445,9.2,26.8
21,42599,39424,3175,34,0,,4862,7.0,
22,42641,39424,3217,31,0,,5020,6.2,
23,42821,39424,3397,450,20,4297,17834,25.2,33.2
24,43277,39424,3853,49,0,,6215,7.9,
25,43343,43008,335,100,88,1026,4586,21.8,27.8
26,43730,43008,722,110,0,,4328,25.4,
27,43858,43008,850,81,48,1427,4397,18.4,26.9
28,43974,43008,966,44,0,,2932,15.0,
29,44234,43008,1226,111,36,1980,4488,24.7,43.9
30,44363,43008,1355,38,0,,3124,12.2,
31,44466,43008,1458,56,0,,3937,14.2,
32,44548,43008,1540,449,25,2209,12459,36.0,43.7
33,45029,43008,2021,393,0,,12038,32.6,
34,45438,43008,2430,3869,73,3259,94140,41.1,42.6
35,49374,43008,6366,484,0,,19318,25.1,
36,49908,46592,3316,865,41,4183,26361,32.8,39.0
37,50798,46592,4206,32,0,,5788,5.5,
38,51533,50176,1357,410,53,2151,9974,41.1,52.3
39,51960,50176,1784,233,108,2486,8523,27.3,38.4
40,52209,50176,2033,232,201,2588,12713,18.2,22.8
41,52621,50176,2445,122,109,3200,8277,14.7,23.8
42,52923,50176,2747,71,0,,4864,14.6,
43,53008,50176,2832,35,0,,4841,7.2,
44,53227,50176,3051,287,84,3701,11830,24.3,35.2
45,53552,50176,3376,24,0,,5546,4.3,
46,53693,50176,3517,377,71,4346,14392,26.2,37.4
47,54093,50176,3917,24,0,,5942,4.0,
48,54169,53760,409,43,0,,2718,15.8,
49,54364,53760,604,147,70,1365,5881,25.0,32.3
50,54528,53760,768,37,17,1448,2680,13.8,29.2
51,54902,53760,1142,109,0,,3407,32.0,
52,55028,53760,1268,40,0,,4013,10.0,
53,55287,53760,1527,38,0,,3930,9.7,
54,55967,53760,2207,2119,776,2972,65052,32.6,34.1
55,58113,53760,4353,399,0,,13192,30.2,
56,58527,57344,1183,543,0,,14889,36.5,
57,59096,57344,1752,31,0,,3588,8.6,
58,59135,57344,1791,24,0,,3391,7.1,
59,59226,57344,1882,216,39,2525,7758,27.8,41.1
60,59448,57344,2104,2732,39,2691,56332,48.5,50.9
61,62247,57344,4903,40,0,,7942,5.0,
62,62496,60928,1568,29,0,,3258,8.9,
63,62833,60928,1905,136,76,2582,6956,19.6,30.9
64,62985,60928,2057,29,0,,3787,7.7,
65,63107,60928,2179,35,0,,4344,8.1,
66,63419,60928,2491,252,133,3316,10923,23.1,33.0
67,63770,60928,2842,909,44,3570,26091,34.8,40.3
68,64723,60928,3795,404,145,4592,18529,21.8,28.9
69,65214,64512,702,102,74,1427,5779,17.7,23.2
70,65838,64512,1326,164,0,,6074,27.0,
71,66030,64512,1518,43,0,,3755,11.5,
72,66123,64512,1611,31,0,,3545,8.7,
73,66162,64512,1650,24,0,,3421,7.0,
74,66381,64512,1869,33,0,,3142,10.5,
75,66490,64512,1978,209,66,2757,9130,22.9,32.6
76,66945,64512,2433,46,0,,4827,9.5,
77,67222,64512,2710,419,280,3509,19134,21.9,26.8
78,67683,64512,3171,43,0,,5029,8.6,
79,68022,64512,3510,142,0,,8975,15.8,
80,68173,64512,3661,40,0,,6236,6.4,
81,68301,68096,205,254,0,,6950,36.5,
82,68571,68096,475,256,0,,7914,32.3,
83,68857,68096,761,175,111,1528,8551,20.5,24.8
84,69099,68096,1003,23,0,,6683,3.4,
85,69203,68096,1107,24,0,,2634,9.1,
86,69280,68096,1184,38,0,,3423,11.1,
87,73862,68096,5766,97,81,7573,11860,8.2,22.4
88,74012,68096,5916,25,0,,7869,3.2,
89,75875,71680,4195,138,108,5144,11010,12.5,23.4
90,76050,71680,4370,22,0,,6235,3.5,
91,77912,75264,2648,54,26,3745,5349,10.1,33.0
92,78013,75264,2749,39,0,,5033,7.7,
93,78097,75264,2833,19,0,,4040,4.7,
94,78163,75264,2899,23,0,,4315,5.3,
95,78743,75264,3479,280,293,4562,17625,15.9,21.4
96,79069,75264,3805,43,0,,6298,6.8,
97,79163,78848,315,205,148,1350,9418,21.8,25.3
98,79423,78848,575,80,48,1457,4616,17.3,25.0
99,79606,78848,758,46,0,,2886,15.9,
100,79689,78848,841,39,0,,2936,13.3,
101,81125,78848,2277,66,32,3709,6116,10.8,27.0
102,81280,78848,2432,28,0,,3875,7.2,
103,84957,78848,6109,50,12,7562,10109,4.9,19.2
104,85072,78848,6224,42,0,,8996,4.7,
105,85190,82432,2758,29,0,,4852,6.0,
106,85235,82432,2803,87,0,3900,7018,12.4,27.6
