round,prompt_tokens,cached_tokens,uncached_tokens,completion_tokens,reasoning_tokens,ttft_ms,duration_ms,tok_s_end_to_end,tok_s_decode_est
1,5995,0,5995,39,6,6661,7846,5.0,32.1
2,7203,3584,3619,55,0,,5310,10.4,
3,8774,7168,1606,1369,566,2285,48129,28.4,29.8
4,10178,7168,3010,594,0,,16674,35.6,
5,10791,7168,3623,3247,0,,77773,41.7,
6,14071,10752,3319,1277,66,4038,31103,41.1,47.1
7,15374,10752,4622,103,90,5291,10106,10.2,21.2
8,15986,14336,1650,592,0,,12173,48.6,
9,16589,14336,2253,202,164,3029,11826,17.1,22.8
10,16832,14336,2496,116,98,3159,8332,13.9,22.2
11,16955,14336,2619,1196,24,3291,31811,37.6,41.9
12,18170,14336,3834,35,0,,7037,5.0,
13,18955,17920,1035,206,98,1423,7901,26.1,31.6
14,19173,17920,1253,35,0,,3463,10.1,
15,19966,17920,2046,50,0,,4767,10.5,
16,20270,17920,2350,59,10,3082,4361,13.5,45.3
17,20341,17920,2421,35,0,,4576,7.6,
18,20620,17920,2700,50,0,,4835,10.3,
19,20907,17920,2987,62,0,,5294,11.7,
20,20982,17920,3062,58,0,,7462,7.8,
21,21317,17920,3397,33,0,,5401,6.1,
22,22125,17920,4205,27,0,,5255,5.1,
23,22740,21504,1236,67,41,1974,4473,15.0,26.4
24,23031,21504,1527,64,0,,3281,19.5,
25,23106,21504,1602,33,0,,3634,9.1,
26,23238,21504,1734,52,0,,5103,10.2,
27,23357,21504,1853,42,0,,3848,10.9,
28,23471,21504,1967,58,0,2551,4168,13.9,35.3
29,23596,21504,2092,23,0,,23102,1.0,
30,23687,21504,2183,51,0,,4066,12.5,
31,23756,21504,2252,47,0,,4856,9.7,
32,25637,21504,4133,236,169,4893,14276,16.5,25.0
33,26268,21504,4764,187,135,5514,13830,13.5,22.4
34,26504,25088,1416,44,0,,3413,12.9,
35,28384,25088,3296,44,0,4372,5780,7.6,30.5
36,28472,25088,3384,24,0,,4926,4.9,
37,30330,25088,5242,62,28,6106,8324,7.4,27.5
38,30437,25088,5349,19,0,,6700,2.8,
39,30500,28672,1828,27,0,,3325,8.1,
40,31086,28672,2414,56,26,3320,5421,10.3,26.2
41,31188,28672,2516,30,0,,4446,6.7,
42,31772,28672,3100,129,32,3760,7446,17.3,34.7
