round,prompt_tokens,cached_tokens,uncached_tokens,completion_tokens,reasoning_tokens,ttft_ms,duration_ms,tok_s_end_to_end,tok_s_decode_est
1,6372,3200,3172,95,28,1308,3832,24.8,37.2
2,6657,4800,1857,102,8,853,2493,40.9,61.6
3,6839,4800,2039,257,21,916,6035,42.6,50.0
4,7143,4800,2343,144,44,1076,4393,32.8,43.1
5,7628,4800,2828,112,72,1199,4164,26.9,37.4
6,7803,4800,3003,152,32,1294,4834,31.4,42.7
7,8008,4800,3208,178,39,1312,4611,38.6,53.7
8,8558,4800,3758,149,50,1498,4595,32.4,47.8
9,9119,6400,2719,62,29,1468,2691,23.0,49.9
10,12497,6400,6097,203,123,2250,6938,29.3,43.1
11,14577,6400,8177,130,48,3041,5500,23.6,52.5
12,16483,9600,6883,198,97,2638,7144,27.7,43.7
13,18034,12800,5234,263,95,2138,7279,36.1,51.0
14,19264,14400,4864,216,72,2032,6697,32.3,46.1
15,28759,16000,12759,398,299,4914,13446,29.6,46.5
16,32235,17600,14635,171,78,5458,9159,18.7,45.9
17,35372,27200,8172,239,135,3311,8336,28.7,47.4
18,37734,30400,7334,280,182,3709,9952,28.1,44.7
19,43074,33600,9474,5115,4879,3907,161042,31.8,32.5
20,50128,35200,14928,168,101,5891,9322,18.0,48.7
21,51894,40000,11894,2477,2387,4821,73869,33.5,35.9
22,54405,49600,4805,114,16,2184,4208,27.1,55.8
23,54560,49600,4960,194,85,2286,6671,29.1,44.0
24,54921,51200,3721,119,14,1852,4343,27.4,47.4
25,55082,52800,2282,123,11,1172,3464,35.5,53.2
26,55219,52800,2419,152,32,1235,4210,36.1,50.8
27,55520,52800,2720,2339,2236,1344,69781,33.5,34.2
28,57910,52800,5110,2792,2699,2241,82210,34.0,34.9
29,65673,52800,12873,113,44,5512,7705,14.7,51.1
30,67601,56000,11601,14902,12060,4771,360654,41.3,41.9
31,82564,65600,16964,4059,11,7610,81018,50.1,55.3
32,86684,75200,11484,375,15,4964,11562,32.4,56.7
33,87100,80000,7100,713,60,3345,16719,42.6,53.2
34,87858,84800,3058,1808,190,1625,36050,50.2,52.5
35,89729,84800,4929,1538,660,2380,37943,40.5,43.2
36,91353,84800,6553,151,45,3339,6958,21.7,41.4
37,91675,88000,3675,325,26,2021,8150,39.9,52.9
38,92044,89600,2444,185,88,1434,6006,30.8,40.2
39,92320,89600,2720,1381,1040,1544,39149,35.3,36.7
40,93727,89600,4127,154,57,2102,26286,5.9,6.3
41,94267,89600,4667,2204,2079,2410,69017,31.9,33.1
42,97153,91200,5953,1131,661,2816,30787,36.7,40.4
43,98329,91200,7129,311,51,3403,10020,31.0,46.8
44,98671,94400,4271,124,22,2251,5456,22.7,38.4
45,99063,96000,3063,384,259,1673,11360,33.8,39.5
46,100023,96000,4023,470,249,2208,14761,31.8,37.4
47,100543,96000,4543,324,210,2373,10370,31.2,40.4
48,100915,97600,3315,355,181,1801,10910,32.5,38.9
49,101389,97600,3789,1004,516,2106,26005,38.6,42.0
50,102445,99200,3245,350,253,1771,11276,31.0,36.7
51,103103,99200,3903,1051,535,2171,25941,40.5,44.2
