round,prompt_tokens,cached_tokens,uncached_tokens,completion_tokens,reasoning_tokens,ttft_ms,duration_ms,tok_s_end_to_end,tok_s_decode_est
1,6850,3200,3650,80,16,1411,2927,27.3,52.1
2,7420,4800,2620,106,29,1131,3078,34.4,53.9
3,26236,4800,21436,192,56,8142,11438,16.8,57.9
4,31425,14400,17025,273,41,6301,11016,24.8,57.7
5,32193,25600,6593,184,42,2691,5821,31.6,58.5
6,34378,28800,5578,184,47,2379,5632,32.7,56.3
7,38472,30400,8072,260,56,3284,7689,33.8,58.8
8,40023,32000,8023,163,52,3259,6561,24.8,49.1
9,40758,36800,3958,104,27,1738,3590,29.0,55.6
10,55773,36800,18973,212,48,7545,11408,18.6,54.6
11,57792,48000,9792,193,39,4470,7997,24.1,54.4
12,68564,52800,15764,316,75,6471,12462,25.4,52.6
13,70018,65600,4418,2507,2385,2034,72155,34.7,35.7
14,72581,65600,6981,134,50,3183,5798,23.1,50.9
15,73966,67200,6766,1947,1747,3064,49797,39.1,41.6
16,75965,70400,5565,2849,10,2678,48505,58.7,62.1
17,78873,72000,6873,449,20,3221,11040,40.7,57.3
18,79381,73600,5781,2535,1347,2749,57059,44.4,46.7
19,81988,76800,5188,1247,748,2505,31106,40.1,43.6
20,83298,76800,6498,489,21,3077,11266,43.4,59.6
21,83851,80000,3851,206,121,2076,6460,31.9,46.8
22,84466,81600,2866,164,26,1531,4312,38.0,58.6
23,84694,81600,3094,6608,4557,1628,153377,43.1,43.5
24,91364,81600,9764,688,496,4473,21251,32.4,40.9
25,92114,81600,10514,445,190,4639,14253,31.2,46.2
26,92620,89600,3020,3001,1358,1633,68107,44.1,45.1
27,95694,89600,6094,2627,1188,2844,36792,71.4,77.4
28,98394,91200,7194,308,139,3572,10034,30.7,47.5
29,98767,92800,5967,1224,45,3062,26739,45.8,51.7
30,100063,96000,4063,112,17,2225,4431,25.3,50.3
31,100476,96000,4476,957,699,2517,38236,25.0,26.8
32,101494,97600,3894,432,32,6999,14326,30.2,58.8
33,102099,99200,2899,303,217,1675,9206,32.9,40.1
34,102589,99200,3389,490,81,1937,10350,47.3,58.1
35,103142,99200,3942,182,96,2230,6944,26.2,38.4
36,103353,100800,2553,116,19,1608,4222,27.5,44.0
37,104379,100800,3579,9576,9460,2412,255047,37.5,37.9
38,118206,100800,17406,9415,7261,7862,240276,39.2,40.5
39,127694,112000,15694,571,29,7678,17690,32.3,56.9
40,128328,124800,3528,684,17,2011,13663,50.1,58.6
41,129076,124800,4276,368,207,2510,10648,34.6,45.1
42,129508,126400,3108,522,94,1897,11829,44.1,52.5
43,130094,126400,3694,380,113,2101,9358,40.6,52.2
44,130533,126400,4133,1303,25,2442,24002,54.3,60.4
45,131908,128000,3908,1203,58,2216,22353,53.8,59.7
46,133184,128000,5184,1006,40,2872,20274,49.6,57.8
47,134262,129600,4662,212,120,2707,7854,27.0,41.0
48,134502,131200,3302,97,10,1967,3982,24.4,47.6
49,134636,131200,3436,2340,1359,2190,53253,43.9,45.8
50,137176,132800,4376,101,16,2483,5091,19.8,38.3
51,137344,132800,4544,148,53,3045,6893,21.5,38.2
52,137561,134400,3161,347,206,1941,9769,35.5,44.2
53,137934,134400,3534,173,58,2068,5765,30.0,46.5
54,138185,134400,3785,63,11,2333,3879,16.2,40.1
55,138323,136000,2323,198,134,1574,6431,30.8,40.6
56,138592,136000,2592,117,37,1702,4474,26.2,41.8
57,138779,136000,2779,69,13,1751,3369,20.5,42.0
58,140267,136000,4267,332,265,2630,12014,27.6,35.3
59,140673,136000,4673,65,10,2635,3997,16.3,47.0
60,142167,136000,6167,284,165,3605,10937,26.0,38.6
61,142552,137600,4952,110,46,3376,5799,19.0,45.0
62,142722,139200,3522,61,13,2318,3622,16.8,46.0
63,144206,140800,3406,673,496,2329,19843,33.9,38.4
64,144943,140800,4143,101,42,2451,4445,22.7,50.2
65,145107,140800,4307,122,21,2880,5386,22.7,48.3
66,145296,142400,2896,86,27,1962,3709,23.2,48.7
67,145858,142400,3458,128,67,2335,5576,23.0,39.2
68,146050,142400,3650,114,21,2237,4599,24.8,47.8
69,146234,142400,3834,111,34,2511,4837,22.9,47.3
70,146817,144000,2817,296,186,1937,9998,29.6,36.6
71,147240,144000,3240,58,10,2087,3059,19.0,58.6
72,147367,144000,3367,67,15,2275,3717,18.0,45.8
73,148860,145600,3260,111,48,2251,4858,22.8,42.2
74,149030,145600,3430,75,19,2184,3485,21.5,56.9
75,150531,145600,4931,192,122,3092,7844,24.5,40.2
76,150790,147200,3590,67,15,2321,3857,17.4,43.0
77,152282,147200,5082,385,326,3185,13677,28.1,36.6
78,152728,148800,3928,143,21,2592,5452,26.2,49.7
79,152939,148800,4139,62,14,2644,3824,16.2,51.7
80,153069,150400,2669,242,99,1903,7360,32.9,44.2
81,153386,150400,2986,245,166,2006,8221,29.8,39.3
82,152866,136000,16866,398,256,8879,19251,20.7,38.3
83,153445,145600,7845,315,215,4283,11736,26.8,42.1
84,153779,150400,3379,71,20,2303,3571,19.9,55.2
85,153887,150400,3487,132,7,2379,5237,25.2,45.8
