round,prompt_tokens,cached_tokens,uncached_tokens,completion_tokens,reasoning_tokens,ttft_ms,duration_ms,tok_s_end_to_end,tok_s_decode_est
1,6422,3200,3222,56,16,1350,2533,22.1,46.5
2,6709,4800,1909,203,31,1190,4677,43.4,57.9
3,8971,4800,4171,841,736,1605,23897,35.2,37.7
4,11529,4800,6729,1305,1106,2595,35999,36.3,39.0
5,12881,6400,6481,752,31,2686,16050,46.9,56.2
6,13662,9600,4062,2626,17,1790,45473,57.7,60.1
7,16317,11200,5117,723,74,1948,14857,48.7,55.9
8,17091,11200,5891,867,99,2389,17986,48.2,55.5
9,18012,14400,3612,1778,136,1513,33335,53.3,55.8
10,19823,14400,5423,490,187,2217,12860,38.1,45.9
11,20337,16000,4337,355,97,1873,9316,38.1,47.6
12,20716,17600,3116,223,71,1351,5893,37.8,48.9
13,20963,17600,3363,980,83,1429,20189,48.5,52.2
14,21997,17600,4397,224,77,1989,6462,34.7,49.9
15,22245,19200,3045,106,24,1367,3386,31.3,52.0
16,22375,19200,3175,327,60,1411,7868,41.6,50.5
17,22731,19200,3531,459,344,1498,13534,33.9,38.1
18,23212,19200,4012,476,375,1817,12492,38.1,44.5
19,23717,20800,2917,1225,184,1283,25334,48.4,50.9
20,24973,20800,4173,265,194,1820,9548,27.8,34.2
21,25372,20800,4572,116,20,2000,5729,20.2,30.8
22,25652,22400,3252,139,29,1410,3792,36.7,57.9
23,25869,22400,3469,122,30,1621,4080,29.9,49.2
24,26057,24000,2057,233,161,1454,7128,32.7,40.9
25,26351,24000,2351,72,20,1207,3015,23.9,39.3
26,27835,24000,3835,116,60,1847,4388,26.4,45.3
27,28009,24000,4009,150,108,1777,5954,25.2,35.7
28,28218,24000,4218,66,24,1944,3218,20.5,51.0
29,28343,25600,2743,67,16,1309,2637,25.4,49.7
30,28873,25600,3273,330,100,1553,9383,35.2,42.0
